"id","label"
"AN","Assemblée Nationale"
"SENAT","Sénat"
"CMP","Commission mixte paritaire"
"NOUVELLE_LECTURE_AN","Nouvelle lecture AN"
"NOUVELLE_LECTURE_SENAT","Nouvelle lecture Sénat"
"LECTURE_DEFINITIVE","Lecture définitive"
"CONGRES","Congrès"
