"id","label"
"PRESIDENCE_REPUBLIQUE","Présidence de la République"
"HAUT_COMMISSAIRE","Haut Commissaire"
"SECRETARIAT_ETAT,"Secrétaire d'état"
"MINISTERE","Ministre"
