"id","label"
"running_all","label.epg.feuilleRoute.etape.running"
"ready_all","label.epg.feuilleRoute.etape.ready"
"done_1","label.epg.feuilleRoute.etape.valide.manuellement"
"done_2","label.epg.feuilleRoute.etape.valide.refusValidation"
"done_3","label.epg.feuilleRoute.etape.valide.automatiquement"
"done_4","label.epg.feuilleRoute.etape.valide.nonConcerne"
"done_10","label.epg.feuilleRoute.etape.valide.avisFavorableCorrection"
"done_15","label.epg.feuilleRoute.etape.valide.retourModification"
